x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,6.0,17.0,10.0,8.0,9.0,14.0,7.0,12.0,11.0
16.0,21.0,30.0,19.0,20.0,15.0,24.0,16.0,24.0,22.0
23.0,36.0,38.0,27.0,29.0,27.0,31.0,24.0,34.0,32.0
34.0,43.0,46.0,32.0,38.0,34.0,39.0,31.0,50.0,42.0
46.0,53.0,53.0,37.0,52.0,49.0,52.0,42.0,65.0,59.0
56.0,68.0,67.0,50.0,61.0,58.0,59.0,52.0,77.0,66.0
63.0,78.0,77.0,56.0,72.0,65.0,74.0,65.0,88.0,72.0
77.0,94.0,83.0,71.0,79.0,76.0,89.0,80.0,96.0,83.0
92.0,105.0,92.0,87.0,85.0,82.0,96.0,95.0,98.0,95.0
106.0,112.0,104.0,96.0,101.0,94.0,110.0,107.0,112.0,107.0
113.0,123.0,120.0,103.0,110.0,101.0,122.0,120.0,122.0,118.0
121.0,135.0,134.0,117.0,125.0,109.0,136.0,130.0,133.0,130.0
129.0,145.0,148.0,127.0,133.0,119.0,150.0,140.0,148.0,142.0
140.0,158.0,161.0,138.0,143.0,132.0,173.0,152.0,163.0,154.0
151.0,170.0,170.0,152.0,156.0,142.0,180.0,164.0,177.0,167.0
159.0,182.0,182.0,163.0,169.0,156.0,185.0,172.0,189.0,183.0
178.0,195.0,193.0,172.0,182.0,165.0,195.0,182.0,206.0,195.0
195.0,213.0,204.0,181.0,196.0,185.0,209.0,190.0,218.0,204.0
207.0,223.0,214.0,191.0,226.0,192.0,223.0,200.0,231.0,218.0
220.0,226.0,231.0,200.0,243.0,206.0,235.0,214.0,242.0,230.0
234.0,240.0,237.0,207.0,252.0,222.0,247.0,230.0,255.0,240.0
248.0,251.0,244.0,218.0,270.0,241.0,267.0,240.0,272.0,256.0
257.0,266.0,259.0,231.0,284.0,255.0,285.0,253.0,287.0,272.0
273.0,282.0,276.0,246.0,300.0,267.0,300.0,267.0,297.0,288.0
286.0,298.0,289.0,264.0,312.0,284.0,310.0,281.0,310.0,304.0
304.0,307.0,300.0,289.0,325.0,297.0,314.0,297.0,323.0,326.0
320.0,320.0,313.0,305.0,335.0,315.0,327.0,311.0,333.0,335.0
339.0,338.0,331.0,321.0,348.0,333.0,342.0,330.0,345.0,347.0
353.0,352.0,353.0,336.0,367.0,347.0,357.0,346.0,357.0,371.0
368.0,370.0,367.0,354.0,387.0,367.0,378.0,364.0,375.0,384.0
378.0,376.0,388.0,374.0,397.0,387.0,404.0,380.0,392.0,406.0
393.0,394.0,409.0,399.0,407.0,407.0,427.0,397.0,402.0,426.0
407.0,410.0,427.0,418.0,418.0,430.0,447.0,412.0,426.0,442.0
432.0,422.0,445.0,441.0,435.0,446.0,465.0,433.0,440.0,460.0
448.0,443.0,459.0,454.0,457.0,467.0,487.0,453.0,460.0,473.0
461.0,463.0,474.0,482.0,474.0,485.0,506.0,469.0,475.0,495.0
488.0,479.0,494.0,501.0,498.0,515.0,525.0,495.0,489.0,522.0
509.0,495.0,511.0,522.0,514.0,537.0,540.0,515.0,507.0,540.0
531.0,523.0,537.0,543.0,531.0,557.0,557.0,541.0,528.0,565.0
550.0,541.0,563.0,578.0,549.0,587.0,580.0,558.0,548.0,586.0
583.0,558.0,587.0,593.0,575.0,610.0,595.0,580.0,567.0,603.0
609.0,588.0,606.0,621.0,603.0,638.0,614.0,601.0,581.0,623.0
634.0,605.0,622.0,636.0,622.0,683.0,645.0,614.0,598.0,636.0
