x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,4.0,14.0,9.0,14.0,12.0,10.0,7.0,10.0,7.0
21.0,19.0,22.0,20.0,26.0,27.0,22.0,15.0,17.0,16.0
33.0,31.0,32.0,29.0,38.0,35.0,38.0,33.0,31.0,24.0
45.0,40.0,42.0,45.0,49.0,47.0,43.0,47.0,48.0,33.0
61.0,50.0,55.0,53.0,53.0,54.0,54.0,61.0,58.0,43.0
69.0,60.0,62.0,66.0,63.0,60.0,61.0,66.0,68.0,51.0
81.0,69.0,71.0,73.0,74.0,71.0,73.0,75.0,79.0,65.0
96.0,77.0,81.0,80.0,81.0,83.0,86.0,85.0,92.0,76.0
107.0,88.0,91.0,93.0,91.0,97.0,91.0,99.0,110.0,89.0
129.0,97.0,102.0,111.0,104.0,115.0,105.0,110.0,123.0,102.0
145.0,105.0,109.0,119.0,113.0,128.0,115.0,128.0,135.0,111.0
156.0,109.0,119.0,131.0,133.0,143.0,128.0,137.0,151.0,130.0
168.0,123.0,127.0,148.0,148.0,151.0,137.0,152.0,162.0,144.0
186.0,131.0,145.0,162.0,158.0,164.0,153.0,161.0,171.0,160.0
202.0,148.0,152.0,178.0,172.0,181.0,169.0,176.0,185.0,177.0
211.0,158.0,164.0,196.0,182.0,189.0,187.0,189.0,201.0,190.0
225.0,171.0,171.0,204.0,197.0,202.0,196.0,198.0,212.0,197.0
234.0,186.0,186.0,215.0,210.0,215.0,208.0,215.0,228.0,214.0
250.0,194.0,199.0,229.0,225.0,233.0,225.0,227.0,248.0,227.0
264.0,213.0,212.0,241.0,238.0,243.0,240.0,237.0,263.0,241.0
269.0,223.0,237.0,251.0,254.0,258.0,251.0,257.0,280.0,253.0
283.0,231.0,248.0,260.0,270.0,271.0,260.0,270.0,293.0,268.0
302.0,241.0,257.0,273.0,288.0,286.0,271.0,283.0,312.0,284.0
310.0,252.0,273.0,283.0,300.0,298.0,282.0,295.0,321.0,304.0
320.0,265.0,299.0,307.0,314.0,309.0,295.0,306.0,333.0,312.0
334.0,286.0,312.0,326.0,333.0,322.0,305.0,320.0,344.0,326.0
349.0,297.0,325.0,340.0,351.0,336.0,318.0,330.0,356.0,336.0
361.0,311.0,338.0,358.0,373.0,358.0,329.0,354.0,370.0,346.0
372.0,328.0,351.0,380.0,386.0,373.0,351.0,364.0,385.0,365.0
383.0,339.0,365.0,394.0,403.0,387.0,366.0,379.0,400.0,386.0
399.0,349.0,385.0,404.0,423.0,400.0,382.0,390.0,412.0,398.0
