x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,17.0,8.0,9.0,10.0,13.0,9.0,12.0,5.0,5.0
20.0,31.0,20.0,20.0,19.0,25.0,19.0,19.0,19.0,11.0
31.0,39.0,32.0,33.0,31.0,34.0,29.0,29.0,35.0,22.0
36.0,53.0,41.0,42.0,42.0,46.0,41.0,35.0,40.0,29.0
51.0,60.0,51.0,54.0,52.0,56.0,53.0,45.0,52.0,32.0
58.0,66.0,62.0,70.0,57.0,65.0,69.0,55.0,56.0,42.0
63.0,69.0,71.0,82.0,68.0,75.0,75.0,65.0,64.0,51.0
69.0,79.0,84.0,89.0,76.0,85.0,82.0,72.0,75.0,60.0
82.0,86.0,92.0,97.0,84.0,92.0,91.0,82.0,90.0,72.0
93.0,99.0,98.0,104.0,98.0,100.0,98.0,90.0,99.0,80.0
100.0,111.0,105.0,117.0,109.0,109.0,113.0,97.0,105.0,94.0
104.0,115.0,114.0,127.0,116.0,120.0,122.0,107.0,115.0,106.0
115.0,122.0,121.0,141.0,127.0,130.0,128.0,122.0,124.0,111.0
122.0,130.0,132.0,149.0,141.0,149.0,136.0,136.0,132.0,124.0
131.0,146.0,141.0,160.0,152.0,161.0,143.0,149.0,142.0,139.0
142.0,153.0,151.0,169.0,168.0,171.0,151.0,160.0,152.0,150.0
153.0,160.0,162.0,182.0,177.0,179.0,163.0,170.0,158.0,160.0
160.0,176.0,179.0,195.0,179.0,191.0,178.0,176.0,173.0,172.0
173.0,184.0,190.0,206.0,186.0,200.0,185.0,181.0,182.0,177.0
181.0,188.0,199.0,216.0,190.0,208.0,197.0,190.0,191.0,186.0
195.0,200.0,208.0,222.0,198.0,221.0,208.0,198.0,206.0,194.0
205.0,207.0,214.0,233.0,205.0,227.0,217.0,204.0,215.0,203.0
212.0,221.0,226.0,240.0,213.0,235.0,228.0,211.0,225.0,207.0
221.0,229.0,233.0,250.0,227.0,247.0,242.0,222.0,235.0,215.0
234.0,244.0,248.0,259.0,233.0,254.0,247.0,233.0,242.0,222.0
243.0,254.0,257.0,270.0,244.0,261.0,260.0,243.0,255.0,230.0
253.0,266.0,268.0,280.0,264.0,268.0,268.0,257.0,263.0,237.0
261.0,280.0,281.0,286.0,267.0,276.0,277.0,265.0,274.0,253.0
269.0,291.0,291.0,299.0,277.0,289.0,284.0,270.0,284.0,266.0
281.0,299.0,300.0,311.0,290.0,298.0,295.0,283.0,289.0,282.0
289.0,310.0,306.0,319.0,301.0,309.0,304.0,295.0,302.0,296.0
300.0,321.0,314.0,323.0,314.0,324.0,312.0,302.0,315.0,312.0
307.0,334.0,328.0,334.0,327.0,335.0,318.0,318.0,327.0,328.0
317.0,351.0,346.0,343.0,336.0,347.0,327.0,325.0,337.0,338.0
326.0,365.0,362.0,350.0,343.0,360.0,343.0,337.0,345.0,348.0
343.0,371.0,374.0,359.0,355.0,371.0,350.0,352.0,357.0,359.0
351.0,386.0,388.0,373.0,371.0,380.0,359.0,358.0,374.0,372.0
361.0,395.0,400.0,385.0,381.0,393.0,368.0,366.0,384.0,384.0
375.0,412.0,417.0,397.0,393.0,411.0,378.0,386.0,394.0,396.0
390.0,418.0,431.0,405.0,399.0,426.0,389.0,400.0,408.0,406.0
398.0,424.0,448.0,418.0,405.0,436.0,399.0,408.0,420.0,414.0
408.0,440.0,457.0,429.0,416.0,443.0,413.0,418.0,429.0,423.0
417.0,453.0,467.0,440.0,425.0,453.0,421.0,433.0,438.0,430.0
433.0,468.0,486.0,450.0,435.0,469.0,430.0,443.0,446.0,439.0
445.0,481.0,492.0,462.0,454.0,484.0,440.0,461.0,459.0,452.0
456.0,491.0,504.0,475.0,464.0,497.0,458.0,472.0,472.0,456.0
468.0,500.0,516.0,485.0,474.0,509.0,467.0,481.0,494.0,466.0
477.0,514.0,535.0,496.0,486.0,515.0,478.0,497.0,504.0,483.0
497.0,524.0,544.0,507.0,498.0,524.0,493.0,503.0,515.0,496.0
508.0,536.0,558.0,523.0,510.0,537.0,508.0,519.0,529.0,508.0
523.0,545.0,570.0,535.0,520.0,552.0,522.0,534.0,543.0,525.0
534.0,563.0,584.0,550.0,530.0,564.0,536.0,550.0,558.0,536.0
550.0,575.0,602.0,564.0,542.0,574.0,546.0,563.0,571.0,551.0
568.0,590.0,610.0,574.0,546.0,583.0,555.0,571.0,580.0,561.0
583.0,608.0,619.0,595.0,557.0,597.0,568.0,586.0,595.0,584.0
593.0,617.0,633.0,604.0,564.0,609.0,584.0,594.0,605.0,597.0
610.0,624.0,647.0,615.0,572.0,628.0,597.0,615.0,613.0,610.0
627.0,638.0,660.0,632.0,586.0,645.0,608.0,629.0,632.0,617.0
648.0,652.0,673.0,642.0,594.0,656.0,621.0,646.0,645.0,626.0
664.0,666.0,685.0,655.0,605.0,673.0,634.0,660.0,654.0,642.0
678.0,680.0,705.0,668.0,618.0,685.0,644.0,675.0,666.0,649.0
696.0,699.0,723.0,681.0,628.0,700.0,653.0,684.0,674.0,662.0
711.0,712.0,737.0,701.0,649.0,715.0,665.0,698.0,693.0,680.0
725.0,725.0,748.0,712.0,668.0,728.0,678.0,716.0,702.0,696.0
735.0,735.0,756.0,729.0,683.0,740.0,692.0,732.0,717.0,706.0
751.0,750.0,780.0,737.0,694.0,746.0,701.0,748.0,730.0,715.0
768.0,764.0,794.0,750.0,705.0,757.0,715.0,766.0,742.0,726.0
781.0,775.0,809.0,763.0,715.0,770.0,730.0,779.0,757.0,737.0
801.0,791.0,834.0,773.0,726.0,783.0,741.0,793.0,775.0,745.0
814.0,809.0,846.0,792.0,734.0,796.0,755.0,812.0,789.0,755.0
826.0,820.0,865.0,809.0,744.0,808.0,764.0,824.0,803.0,767.0
846.0,834.0,879.0,823.0,756.0,818.0,777.0,833.0,815.0,777.0
854.0,843.0,892.0,834.0,773.0,836.0,792.0,850.0,835.0,790.0
877.0,857.0,915.0,848.0,784.0,857.0,805.0,866.0,851.0,806.0
893.0,871.0,927.0,862.0,804.0,877.0,820.0,882.0,866.0,815.0
909.0,878.0,936.0,874.0,819.0,894.0,838.0,896.0,884.0,830.0
926.0,886.0,954.0,890.0,826.0,912.0,855.0,909.0,900.0,847.0
937.0,895.0,969.0,906.0,845.0,927.0,869.0,930.0,916.0,864.0
958.0,907.0,983.0,922.0,856.0,938.0,879.0,944.0,934.0,882.0
982.0,914.0,999.0,932.0,875.0,958.0,886.0,965.0,952.0,898.0
1005.0,937.0,1018.0,947.0,892.0,969.0,901.0,979.0,963.0,918.0
1022.0,947.0,1036.0,959.0,912.0,987.0,912.0,1003.0,979.0,934.0
1047.0,965.0,1057.0,978.0,924.0,1009.0,923.0,1021.0,997.0,960.0
1074.0,981.0,1077.0,991.0,942.0,1022.0,936.0,1041.0,1013.0,978.0
1095.0,990.0,1093.0,1017.0,955.0,1034.0,943.0,1060.0,1032.0,993.0
1113.0,1000.0,1109.0,1034.0,969.0,1051.0,950.0,1078.0,1050.0,1012.0
1135.0,1018.0,1125.0,1041.0,987.0,1062.0,966.0,1101.0,1066.0,1023.0
1149.0,1039.0,1151.0,1056.0,996.0,1068.0,976.0,1117.0,1077.0,1034.0
1166.0,1052.0,1174.0,1077.0,1012.0,1089.0,992.0,1132.0,1090.0,1051.0
1188.0,1065.0,1197.0,1093.0,1028.0,1100.0,1006.0,1149.0,1106.0,1067.0
1212.0,1082.0,1214.0,1109.0,1038.0,1111.0,1019.0,1169.0,1130.0,1078.0
1230.0,1097.0,1241.0,1130.0,1057.0,1129.0,1034.0,1182.0,1141.0,1091.0
1245.0,1112.0,1261.0,1144.0,1066.0,1147.0,1049.0,1200.0,1165.0,1115.0
1263.0,1125.0,1279.0,1160.0,1086.0,1166.0,1063.0,1219.0,1188.0,1135.0
1282.0,1143.0,1299.0,1170.0,1103.0,1183.0,1072.0,1235.0,1208.0,1155.0
1298.0,1154.0,1325.0,1189.0,1126.0,1199.0,1084.0,1249.0,1221.0,1176.0
1317.0,1168.0,1346.0,1203.0,1148.0,1218.0,1098.0,1264.0,1239.0,1188.0
1350.0,1182.0,1366.0,1220.0,1168.0,1244.0,1106.0,1288.0,1254.0,1213.0
1369.0,1198.0,1379.0,1239.0,1189.0,1263.0,1120.0,1309.0,1274.0,1226.0
1388.0,1207.0,1398.0,1265.0,1202.0,1279.0,1137.0,1322.0,1285.0,1237.0
1410.0,1216.0,1415.0,1285.0,1213.0,1296.0,1151.0,1337.0,1302.0,1256.0
1426.0,1235.0,1435.0,1301.0,1239.0,1317.0,1164.0,1352.0,1319.0,1273.0
1446.0,1247.0,1451.0,1323.0,1247.0,1325.0,1184.0,1362.0,1333.0,1288.0
1461.0,1267.0,1481.0,1333.0,1263.0,1342.0,1196.0,1380.0,1347.0,1299.0
1480.0,1290.0,1499.0,1351.0,1282.0,1361.0,1209.0,1403.0,1373.0,1319.0
1505.0,1318.0,1522.0,1365.0,1296.0,1379.0,1225.0,1419.0,1387.0,1342.0
1525.0,1333.0,1538.0,1377.0,1314.0,1392.0,1240.0,1440.0,1402.0,1354.0
