x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,8.0,5.0,9.0,12.0,7.0,9.0,11.0,8.0,9.0
19.0,18.0,10.0,25.0,30.0,17.0,24.0,22.0,13.0,19.0
31.0,29.0,22.0,30.0,38.0,25.0,35.0,31.0,22.0,31.0
40.0,38.0,35.0,41.0,47.0,34.0,47.0,37.0,30.0,46.0
46.0,46.0,44.0,53.0,55.0,43.0,53.0,45.0,40.0,56.0
52.0,58.0,59.0,65.0,64.0,55.0,59.0,57.0,45.0,63.0
60.0,65.0,68.0,72.0,79.0,68.0,71.0,67.0,57.0,72.0
70.0,75.0,83.0,85.0,88.0,85.0,81.0,77.0,68.0,82.0
84.0,93.0,95.0,95.0,99.0,92.0,86.0,90.0,80.0,96.0
95.0,105.0,105.0,111.0,113.0,105.0,96.0,102.0,85.0,108.0
109.0,114.0,113.0,115.0,126.0,123.0,104.0,114.0,98.0,119.0
121.0,129.0,128.0,125.0,133.0,142.0,110.0,128.0,114.0,125.0
133.0,139.0,136.0,131.0,144.0,156.0,123.0,138.0,127.0,138.0
143.0,151.0,142.0,146.0,154.0,168.0,133.0,155.0,145.0,151.0
156.0,159.0,156.0,157.0,160.0,183.0,142.0,174.0,151.0,163.0
167.0,167.0,169.0,170.0,176.0,202.0,152.0,190.0,169.0,172.0
176.0,183.0,183.0,185.0,189.0,211.0,162.0,195.0,181.0,183.0
186.0,194.0,191.0,194.0,204.0,231.0,174.0,204.0,190.0,198.0
199.0,205.0,205.0,206.0,214.0,251.0,183.0,218.0,203.0,210.0
216.0,219.0,222.0,221.0,227.0,262.0,195.0,230.0,218.0,228.0
228.0,225.0,240.0,238.0,242.0,278.0,202.0,252.0,229.0,242.0
249.0,240.0,252.0,259.0,259.0,290.0,210.0,267.0,242.0,254.0
259.0,255.0,272.0,276.0,271.0,303.0,217.0,277.0,259.0,271.0
271.0,269.0,290.0,286.0,284.0,313.0,232.0,288.0,270.0,282.0
283.0,280.0,302.0,296.0,294.0,332.0,247.0,301.0,281.0,300.0
298.0,296.0,318.0,312.0,301.0,351.0,264.0,313.0,295.0,314.0
313.0,312.0,337.0,330.0,307.0,360.0,283.0,327.0,313.0,332.0
332.0,319.0,351.0,343.0,328.0,385.0,295.0,341.0,331.0,351.0
346.0,329.0,366.0,361.0,351.0,403.0,312.0,354.0,356.0,360.0
358.0,340.0,384.0,386.0,363.0,430.0,330.0,369.0,378.0,381.0
380.0,357.0,410.0,403.0,376.0,445.0,349.0,382.0,400.0,398.0
393.0,370.0,432.0,424.0,385.0,464.0,359.0,400.0,418.0,421.0
413.0,385.0,446.0,454.0,399.0,488.0,388.0,414.0,434.0,439.0
426.0,403.0,472.0,466.0,415.0,510.0,408.0,430.0,455.0,455.0
444.0,419.0,494.0,490.0,430.0,538.0,424.0,447.0,475.0,475.0
464.0,446.0,519.0,513.0,449.0,562.0,434.0,463.0,489.0,498.0
472.0,459.0,542.0,529.0,469.0,582.0,459.0,487.0,517.0,513.0
496.0,478.0,558.0,559.0,485.0,598.0,478.0,511.0,538.0,532.0
519.0,494.0,582.0,585.0,507.0,620.0,501.0,527.0,561.0,557.0
535.0,512.0,610.0,608.0,527.0,642.0,528.0,544.0,578.0,569.0
560.0,525.0,624.0,633.0,548.0,672.0,552.0,569.0,601.0,585.0
583.0,537.0,649.0,650.0,568.0,691.0,571.0,585.0,628.0,602.0
601.0,554.0,672.0,673.0,589.0,705.0,591.0,609.0,661.0,631.0
621.0,574.0,691.0,694.0,616.0,734.0,610.0,643.0,682.0,656.0
638.0,590.0,720.0,717.0,643.0,762.0,624.0,673.0,705.0,677.0
661.0,614.0,743.0,739.0,665.0,796.0,656.0,690.0,734.0,697.0
680.0,631.0,773.0,757.0,689.0,832.0,687.0,701.0,754.0,728.0
708.0,661.0,805.0,788.0,712.0,855.0,706.0,728.0,778.0,759.0
727.0,683.0,838.0,811.0,740.0,884.0,732.0,751.0,806.0,788.0
754.0,706.0,866.0,849.0,763.0,924.0,757.0,781.0,831.0,810.0
782.0,728.0,900.0,874.0,791.0,960.0,778.0,809.0,865.0,831.0
814.0,752.0,924.0,896.0,813.0,989.0,808.0,832.0,889.0,856.0
847.0,779.0,961.0,923.0,847.0,1015.0,838.0,864.0,912.0,873.0
864.0,811.0,993.0,958.0,884.0,1039.0,864.0,909.0,942.0,899.0
888.0,831.0,1018.0,998.0,913.0,1067.0,892.0,934.0,976.0,922.0
922.0,861.0,1051.0,1031.0,937.0,1095.0,921.0,960.0,1008.0,950.0
951.0,889.0,1079.0,1063.0,963.0,1126.0,946.0,987.0,1038.0,977.0
971.0,925.0,1106.0,1090.0,989.0,1163.0,981.0,1013.0,1071.0,1009.0
993.0,965.0,1139.0,1128.0,1018.0,1209.0,1025.0,1048.0,1105.0,1042.0
1039.0,997.0,1173.0,1164.0,1042.0,1256.0,1057.0,1078.0,1132.0,1068.0
1083.0,1022.0,1214.0,1199.0,1081.0,1288.0,1105.0,1128.0,1172.0,1103.0
1120.0,1065.0,1255.0,1238.0,1114.0,1338.0,1145.0,1167.0,1211.0,1142.0
1162.0,1099.0,1297.0,1282.0,1151.0,1371.0,1179.0,1205.0,1244.0,1171.0
1198.0,1132.0,1338.0,1317.0,1192.0,1409.0,1213.0,1232.0,1275.0,1205.0
1239.0,1166.0,1380.0,1365.0,1239.0,1460.0,1243.0,1267.0,1319.0,1238.0
1281.0,1205.0,1426.0,1404.0,1281.0,1502.0,1287.0,1310.0,1368.0,1268.0
1321.0,1245.0,1468.0,1452.0,1314.0,1544.0,1321.0,1351.0,1410.0,1314.0
1359.0,1283.0,1512.0,1489.0,1362.0,1583.0,1357.0,1402.0,1444.0,1356.0
1400.0,1312.0,1558.0,1528.0,1405.0,1629.0,1408.0,1438.0,1494.0,1401.0
1440.0,1349.0,1601.0,1577.0,1453.0,1665.0,1453.0,1480.0,1532.0,1439.0
1474.0,1392.0,1656.0,1630.0,1493.0,1709.0,1501.0,1523.0,1581.0,1486.0
1528.0,1440.0,1710.0,1679.0,1533.0,1752.0,1538.0,1563.0,1631.0,1516.0
1571.0,1481.0,1764.0,1733.0,1575.0,1799.0,1577.0,1620.0,1667.0,1559.0
1619.0,1520.0,1806.0,1788.0,1612.0,1845.0,1617.0,1666.0,1724.0,1599.0
1662.0,1571.0,1852.0,1840.0,1650.0,1890.0,1663.0,1707.0,1764.0,1650.0
1705.0,1615.0,1899.0,1888.0,1694.0,1950.0,1702.0,1755.0,1811.0,1699.0
1748.0,1666.0,1950.0,1947.0,1738.0,2007.0,1736.0,1811.0,1854.0,1753.0
1796.0,1726.0,1999.0,1997.0,1801.0,2060.0,1787.0,1867.0,1901.0,1797.0
1846.0,1768.0,2060.0,2049.0,1849.0,2125.0,1822.0,1913.0,1958.0,1848.0
1897.0,1810.0,2116.0,2112.0,1898.0,2169.0,1874.0,1966.0,1999.0,1894.0
1954.0,1867.0,2169.0,2162.0,1959.0,2218.0,1929.0,2024.0,2044.0,1943.0
1996.0,1901.0,2225.0,2224.0,2011.0,2276.0,1980.0,2082.0,2103.0,1988.0
2050.0,1966.0,2294.0,2283.0,2069.0,2340.0,2025.0,2121.0,2160.0,2037.0
2108.0,2017.0,2361.0,2344.0,2132.0,2400.0,2082.0,2175.0,2227.0,2090.0
2162.0,2058.0,2436.0,2411.0,2181.0,2472.0,2130.0,2215.0,2288.0,2140.0
2221.0,2123.0,2498.0,2479.0,2239.0,2531.0,2184.0,2272.0,2340.0,2186.0
2285.0,2164.0,2559.0,2546.0,2308.0,2582.0,2235.0,2349.0,2400.0,2247.0
2342.0,2211.0,2620.0,2613.0,2362.0,2636.0,2286.0,2400.0,2453.0,2310.0
2398.0,2266.0,2691.0,2681.0,2421.0,2699.0,2339.0,2467.0,2508.0,2368.0
2444.0,2324.0,2764.0,2750.0,2483.0,2756.0,2407.0,2522.0,2575.0,2439.0
2524.0,2384.0,2822.0,2827.0,2552.0,2840.0,2472.0,2576.0,2639.0,2503.0
2579.0,2434.0,2905.0,2887.0,2619.0,2896.0,2541.0,2642.0,2693.0,2552.0
2634.0,2499.0,2974.0,2990.0,2687.0,2962.0,2617.0,2711.0,2753.0,2626.0
2697.0,2559.0,3037.0,3066.0,2739.0,3035.0,2668.0,2773.0,2825.0,2689.0
2762.0,2642.0,3105.0,3133.0,2826.0,3097.0,2729.0,2854.0,2899.0,2750.0
2815.0,2691.0,3181.0,3214.0,2890.0,3183.0,2792.0,2928.0,2970.0,2805.0
2879.0,2757.0,3246.0,3286.0,2957.0,3236.0,2865.0,2991.0,3060.0,2858.0
2947.0,2824.0,3332.0,3360.0,3022.0,3310.0,2936.0,3061.0,3138.0,2938.0
3010.0,2885.0,3415.0,3429.0,3095.0,3381.0,3002.0,3119.0,3215.0,3010.0
3086.0,2955.0,3493.0,3514.0,3160.0,3458.0,3082.0,3200.0,3288.0,3088.0
3149.0,3027.0,3575.0,3589.0,3225.0,3524.0,3160.0,3279.0,3370.0,3151.0
3220.0,3087.0,3659.0,3675.0,3294.0,3598.0,3236.0,3362.0,3446.0,3220.0
3280.0,3144.0,3750.0,3741.0,3402.0,3687.0,3314.0,3429.0,3510.0,3291.0
3364.0,3215.0,3833.0,3817.0,3488.0,3766.0,3381.0,3502.0,3604.0,3378.0
3433.0,3298.0,3933.0,3899.0,3554.0,3853.0,3449.0,3578.0,3675.0,3451.0
3512.0,3382.0,4023.0,3964.0,3650.0,3939.0,3526.0,3661.0,3758.0,3542.0
3608.0,3453.0,4117.0,4038.0,3732.0,4028.0,3612.0,3739.0,3825.0,3624.0
3689.0,3525.0,4209.0,4127.0,3820.0,4125.0,3673.0,3821.0,3917.0,3706.0
3770.0,3597.0,4307.0,4228.0,3894.0,4215.0,3763.0,3907.0,4015.0,3779.0
3859.0,3689.0,4410.0,4313.0,3980.0,4304.0,3839.0,3989.0,4109.0,3852.0
3962.0,3776.0,4509.0,4416.0,4067.0,4382.0,3906.0,4078.0,4193.0,3932.0
4046.0,3853.0,4607.0,4506.0,4156.0,4474.0,3981.0,4158.0,4288.0,4023.0
